"Manufacturer","Model","SKU","Description","Finish","Diameter","Width","Bolt Pattern","Offset","Backspace","GTIN","Bore","Lugs","Lug Type","Max Load lbs","Cost","AC-EDM","AC-OAK","MAP","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6"
"GT OFFROAD","INVASION","GT72212613544GBML","INVASION 22x12 6x135 -44 Gloss Black Milled","Gloss Black Milled","22","12","6x135","-44","4.75","","87.1","6","","2500","299.25","36","8","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4f5ca8ef-0037-4f7a-9122-d92005cfa6f1.png","","","","",""
"GT OFFROAD","INVASION","GT720105139718GBML","INVASION 20x10 5x139.7 -18 Gloss Black Milled","Gloss Black Milled","20","10","5x139.7","-18","4.75","","108.1","0","","2500","260.25","55","0","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4f5ca8ef-0037-4f7a-9122-d92005cfa6f1.png","","","","",""
"GT OFFROAD","INVASION","GT72212613544SB","INVASION 22x12 6x135 -44 Satin Black","Satin Black","22","12","6x135","-44","4.75","","87.1","6","","2500","299.25","28","8","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/3d34923b-b070-453f-974e-6da37866bdfe.webp","","","","",""
"GT OFFROAD","STRIKE","GT924145139744GBML","STRIKE 24x14 5x139.7 -76 Gloss Black Milled","Gloss Black Milled","24","14","5x139.7","-76","4.5","","108.1","0","2500","2500","353.25","69","4","471","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/a44a2db4-8b49-4aa3-9e51-6ba048324bd6.png","","","","",""
"GT OFFROAD","STRIKE","GT920108165118GBML","STRIKE 20x10 8x165.1 -18 Gloss Black Milled","Gloss Black Milled","20","10","8x165.1","-18","4.75","","125.2","8","3200","3200","260.25","80","8","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/a44a2db4-8b49-4aa3-9e51-6ba048324bd6.png","","","","",""
"GT OFFROAD","RAID","GT62212448180MB","RAID 22x12 8x180 -44 Matte Black","Matte Black","22","12","8x180","-44","4.75","","125.2","8","","3200","299.25","0","0","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/18d135f5-f414-4669-a225-635ff0fdb062.png","","","","",""
"GT OFFROAD","STRIKE","GT9226124442","STRIKE 26x12 6x139.7 -44 Gloss Black Milled","Gloss Black Milled","26","12","6x139.7","-44","4.75","","106.1","6","2500","2500","400.5","80","8","534","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/a44a2db4-8b49-4aa3-9e51-6ba048324bd6.png","","","","",""
"GT OFFROAD","AGGRESSION","GT822128165144GBML","AGGRESSION 22x12 8x165.1 -44 Gloss Black Milled","Gloss Black Milled","22","12","8x165.1","-44","4.75","","125.2","8","","3200","299.25","3","4","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/c52a8181-ffac-4288-8be2-832203941547.png","","","","",""
"GT OFFROAD","INVASION","GT720108165118GBML","INVASION 20x10 8x165.1 -18 Gloss Black Milled","Gloss Black Milled","20","10","8x165.1","-18","4.75","","125.2","8","","3200","260.25","60","4","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4f5ca8ef-0037-4f7a-9122-d92005cfa6f1.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT112241451121","TOMAHAWK 24x14 5x127/5x139.7 -76 Gloss Black Milled","Gloss Black Milled","24","14","5x127/5x139.7","-76","4.5","","78.1","0","2500","2500","353.25","42","4","471","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/ed550975-7e40-490c-b197-dbd7891190c4.png","","","","",""
